Boundary,Source,Area_Ha,Shape_Leng,Shape_Area
Inner London,London Plan Consultation Draft,34863.295694,117020.737488,348632956.877
Outer London,London Plan Consultation Draft,124606.812118,373367.664448,1246068121.12
